observation;particle0;particle1;particle2;particle3;particle4;particle5
70;1,349843273;11,51817376;3,654884976;0,661731787;;8,039055607
71;1,44799317;;3,411973803;0,557142327;;8,032131845
72;1,37735338;;3,389011432;0,171444529;;8,499578842
73;1,147539174;;2,538609344;0,321886457;;8,936433927
74;;;2,177801193;;;8,992935657
75;;;1,891211101;;;
76;;;1,809771834;;;
77;;;1,359655563;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
85;;;;;;
86;;;;;;
87;;;;;;
88;;;;;;
89;;;;;;
90;;;;;;
91;;;;;;
92;;;;;;
93;;;;;;
94;;;;;;
95;;;;;;
96;;;;;;
97;;;;;;
98;;;;;;
99;;;;;;
100;;;;;;
101;;;;;;
102;;;;;;
103;;;;;;
104;;;;;;
105;;;;;;
106;;;;;;
107;;;;;;
108;;;;;;
109;;;;;;
110;;;;;;
111;;;;;;
112;;;;;;
113;;;;;;
114;;;;;;
115;;;;;;
